profile_id,composite_score,risk_level,ring_score,cluster_score,burst_score,stake_score,reciprocity_score
12928,54.22,high,100.0,36.86,0.0,100.0,0.0
24280,48.22,medium,100.0,36.86,0.0,60.0,0.0
12748,45.0,medium,100.0,0.0,0.0,100.0,0.0
5538,45.0,medium,100.0,0.0,0.0,100.0,0.0
5395,45.0,medium,100.0,0.0,0.0,100.0,0.0
9951,45.0,medium,100.0,0.0,0.0,100.0,0.0
12192,45.0,medium,100.0,0.0,0.0,100.0,0.0
13358,45.0,medium,100.0,0.0,0.0,100.0,0.0
5793,45.0,medium,100.0,0.0,0.0,100.0,0.0
5205,45.0,medium,100.0,0.0,0.0,100.0,0.0
3572,45.0,medium,100.0,0.0,0.0,100.0,0.0
3757,45.0,medium,100.0,0.0,0.0,100.0,0.0
5689,45.0,medium,100.0,0.0,0.0,100.0,0.0
5129,45.0,medium,100.0,0.0,0.0,100.0,0.0
3429,44.13,medium,100.0,38.53,0.0,30.0,0.0
2608,44.13,medium,100.0,38.53,0.0,30.0,0.0
8472,43.72,medium,100.0,36.86,0.0,30.0,0.0
5415,43.72,medium,100.0,36.86,0.0,30.0,0.0
2983,43.2,medium,94.0,0.0,0.0,100.0,0.0
6000,42.0,medium,100.0,0.0,0.0,80.0,0.0
4775,42.0,medium,100.0,0.0,0.0,80.0,0.0
2734,42.0,medium,100.0,0.0,0.0,80.0,0.0
6181,42.0,medium,100.0,0.0,0.0,80.0,0.0
12232,42.0,medium,100.0,0.0,0.0,80.0,0.0
3662,42.0,medium,100.0,0.0,0.0,80.0,0.0
2743,42.0,medium,100.0,0.0,0.0,80.0,0.0
5330,42.0,medium,100.0,0.0,0.0,80.0,0.0
11592,41.47,medium,100.0,36.86,0.0,15.0,0.0
3531,41.47,medium,100.0,36.86,0.0,15.0,0.0
3098,40.32,medium,94.4,0.0,0.0,80.0,0.0
19,40.25,medium,100.0,0.0,0.0,15.0,80.0
2720,39.75,medium,100.0,0.0,0.0,65.0,0.0
5787,39.63,medium,100.0,38.53,0.0,0.0,0.0
27129,39.22,medium,100.0,36.86,0.0,0.0,0.0
20823,39.22,medium,100.0,36.86,0.0,0.0,0.0
23609,39.22,medium,100.0,36.86,0.0,0.0,0.0
15172,39.22,medium,100.0,36.86,0.0,0.0,0.0
